,Name,Artist,Link
0,Heeriye,Arijit Singh,https://www.youtube.com/watch?v=4VwtfInG-LU&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=1
1,KESARIYA,Arijit Singh,https://www.youtube.com/watch?v=W1S9AbHpWFY&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=2
2,Dil Se Dil,Shashwat Singh,https://www.youtube.com/watch?v=YOMnzy0qdoU&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=3
3,SRIVALLI,Javed Ali,https://www.youtube.com/watch?v=v2IGNN7CA4M&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=4
4,What Jhumka,Arijit Singh,https://www.youtube.com/watch?v=aK_oYigRMVE&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=5
5,MEHBOOBA,Srinidhi Shetty,https://www.youtube.com/watch?v=Za87ZnlcHUs&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=6
6,Barsaat Lana,Ashwani Machal,https://www.youtube.com/watch?v=ix2WqkKpgkk&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=7
7,Jab aati hai tu,Sarit Dutta,https://www.youtube.com/watch?v=HbVT7bmjjv0&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=8
8,RATAN LAMBIIYAN,Jubin Nautiyal,https://www.youtube.com/watch?v=xR_AU9G3heM&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=9
9,Tum Kya Mile,Arijit Singh,https://www.youtube.com/watch?v=taRBVfDRukY&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=10
10,Ranjha,Jasleen Royal,https://www.youtube.com/watch?v=UU-eUEt-tPg&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=11
11,Har Jagah tu,Rakul Preet,https://www.youtube.com/watch?v=5G_5jlVgPgE&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=12
12,KHERIYAT,Arijit Singh,https://www.youtube.com/watch?v=9-AKLAfpjrI&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=13
13,Duniyaa,Dhvani Bhanushali,https://www.youtube.com/watch?v=XB9zb6LNL1Y&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=14
14,Ve Kamleya,Arijit Singh,https://www.youtube.com/watch?v=xXFbFUcic_0&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=15
15,DEKHA HAZARO DAFA,Sarit Dutta,https://www.youtube.com/watch?v=_EWeBRsYhFY&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=16
16,ZALIMA,Harshdeep Kaur,https://www.youtube.com/watch?v=gx4bS5q7ly4&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=17
17,Nazarband,Arijit Singh,https://www.youtube.com/watch?v=DLlr1p0hrAw&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=18
18,REHNA TU PAL PAL DIL KE PAAS,Arijit Singh,https://www.youtube.com/watch?v=X7uCrlxLADs&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=19
19,AASHUQUI AA GAYI,Arijit Singh,https://www.youtube.com/watch?v=2eRwSF9aqsA&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=20
20,EK PAL,Shreya Ghosha,https://www.youtube.com/watch?v=2eRwSF9aqsA&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=21
21,Jaan hai meri,Armaan Malik,https://www.youtube.com/watch?v=KM2Uw2uD6lk&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=22
22,Aaj Se Teri,Arijit Singh,https://www.youtube.com/watch?v=IqZu_tQffP4&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=23
23,Jo Tum Aa Gaye Ho,Arijit Singh,https://www.youtube.com/watch?v=Psir7Xr7qkY&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=24
24,Naach,Tanishk Bagchi,https://www.youtube.com/watch?v=3F4PbIBKNls&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=25
25,TERE SANG YAARA,Atif Aslam,https://www.youtube.com/watch?v=bJ-UNIO_LJk&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=26
26,O Sita,Anweshaa,https://www.youtube.com/watch?v=HoyhzaabOSk&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=27
27,O SAATHI,Atif Aslam,https://www.youtube.com/watch?v=d2uHe3bTjqo&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=28
28,Ishq Karu,Aanandi Joshi,https://www.youtube.com/watch?v=WUxeJ9cdmlw&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=29
29,Tum Hi aana,Jubin Nautiyal,https://www.youtube.com/watch?v=srPQJktsRGo&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=30
30,Baarish Ban Jaana,Ben Payal,https://www.youtube.com/watch?v=pSkRdbuuuWw&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=31
31,Dil Galti Kar Baitha Hai,Jubin Nautiyal,https://www.youtube.com/watch?v=Y1GnZb6Zock&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=32
32,Khwab Tere,Aanandi Joshi,https://www.youtube.com/watch?v=rtUoE5p0060&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=33
33,Chhod Diya,Arijit Singh,https://www.youtube.com/watch?v=KMz2pTfRIxw&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=34
34,Kabhii Tumhhe,Javed Ali,https://www.youtube.com/watch?v=FaCV5a1ShgQ&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=35
35,Apna Bana Le,Arijit Singh,https://www.youtube.com/watch?v=r6ESkzm9ybM&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=36
36,Tera Fitoor,Arjit Singh,https://www.youtube.com/watch?v=MA9MphbVdNU&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=37
37,Tum hi ho,Arijit Singh,https://www.youtube.com/watch?v=0OH5PoXbTR8&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=38
38,Mann Bharryaa 2.0,B Praak,https://www.youtube.com/watch?v=7RbuaT8SqY8&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=39

