,Name,Artist,Link
0,Dil Dhadakne Do,Priyanka Chopra,https://www.youtube.com/watch?v=56ZzM4mz4yY&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2
1,Hairat,Vishal Shekar,https://www.youtube.com/watch?v=aHEbLVElUwY&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=2
2,Dil hi to hai,Arijit Singh,https://www.youtube.com/watch?v=hBqxCILVLxQ&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=3
3,Halka Halka,Amit Trivedi,https://www.youtube.com/watch?v=nZhLM-FeV9A&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=4
4,Matargashti,Mohit Chauhan,https://www.youtube.com/watch?v=6vKucgAeF_Q&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=5
5,Ghungroo,Arijit Singh,https://www.youtube.com/watch?v=qFkNATtc3mc&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=6
6,Jeena Jeena,Atif Aslam,https://www.youtube.com/watch?v=zFdi834FiZ4&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=7
7,Raabta,Arijit Singh,https://www.youtube.com/watch?v=piUHBTXsoiY&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=8
8,Saibo,Sachin-Jigar,https://www.youtube.com/watch?v=JeiZTnRfrbM&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=9
9,Ankhon se batana,Dikshant,https://www.youtube.com/watch?v=K8P4_3NZsKs&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=10
10,Sage,Ritviz,https://www.youtube.com/watch?v=_kUrW9SEaJc&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=11
11,Roz,Ritviz,https://www.youtube.com/watch?v=WCauHgLeqZc&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=12
12,mehfooz,Ritviz,https://www.youtube.com/watch?v=s-psCOzFjVA&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=13
13,Rangi Saari,Kavita Seth,https://www.youtube.com/watch?v=jY8mAWdQFOA&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=14
14,Heeriye,Arijit Singh,https://www.youtube.com/watch?v=RLzC55ai0eo&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=15
15,Malang Sajna,Sachet Tandon,https://www.youtube.com/watch?v=UbMgcdmYC70&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=16
16,Maiiya Menu,Sachet Tandon,https://www.youtube.com/watch?v=y7MW7d8fb1Y&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=17
17,udd gaye,Ritviz,https://www.youtube.com/watch?v=v2-9rIL_f4w&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=18
18,jeet,Ritviz,https://www.youtube.com/watch?v=NaMLvkHoU_g&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=19
19,Bombay Dreams,KSHMR,https://www.youtube.com/watch?v=EW4pNzAbVao&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=20
20,Chal Bombay,Divine,https://www.youtube.com/watch?v=FS9dkwhPypY&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=21
21,Kalaastar,Yoyo Honey singh,https://www.youtube.com/watch?v=5oExKMYIE9U&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=22
22,Excuses,AP Dhillon,https://www.youtube.com/watch?v=vX2cDW8LUWk&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=23
23,Barbadiyaan,Sachin-Jigar,https://www.youtube.com/watch?v=vJQMhj6WYZA&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=24
24,Jug Jug jeevo,Sachin-Jigar,https://www.youtube.com/watch?v=Irw8llgSC3s&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=25
25,Mere Sohneya,Sachet Tandon,https://www.youtube.com/watch?v=Njq4A5DAqRw&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=26
26,Liggi,Ritviz,https://www.youtube.com/watch?v=FDo55D-YWsE&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=27
27,Kudi Nu Nachnede,Vishal Dadlani,https://www.youtube.com/watch?v=oSpMspvMkSQ&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=28
28,Akhiyaan,Mitraz,https://www.youtube.com/watch?v=MHhsBGidWds&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=29
29,Nadiyon sa,Mitraz,https://www.youtube.com/watch?v=r6LNuLH4skg&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=30
30,Samjho na,Aditya Rikhari,https://www.youtube.com/watch?v=MhXCj8E9CZU&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=31
31,Kasoor,Prateek Kulhad,https://www.youtube.com/watch?v=iOIF74Hk80A&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=32
32,alag Asmaan,anuv Jain,https://www.youtube.com/watch?v=vA86QFrXoho&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=33
33,Gul,anuv Jain,https://www.youtube.com/watch?v=SmaY7RfBgas&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=34
34,farq hai,Suzonn,https://www.youtube.com/watch?v=dfCuMoiwN6M&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=35
35,Sun lo na ,Suzonn,https://www.youtube.com/watch?v=tAPVdPLCvYU&list=PLmQj3u8DC8VsNllU_DnAPw985MpLoM7i2&index=36
