,Name,Artist,Link
0,kar gayi chull,Amaal Malik,https://www.youtube.com/watch?v=NTHz9ephYTw&list=PLmQj3u8DC8VuRskKePgLLijK0i78OGeMb&index=1
1,Garmi,Neha Kakkar,https://www.youtube.com/watch?v=q_0uF80IZXM&list=PLmQj3u8DC8VuRskKePgLLijK0i78OGeMb&index=2
2,Genda Phool,Badshaah,https://www.youtube.com/watch?v=SD4Z8dlZPd8&list=PLmQj3u8DC8VuRskKePgLLijK0i78OGeMb&index=3
3,Muqabla,Tanishk B,https://www.youtube.com/watch?v=l75z7FrYRXI&list=PLmQj3u8DC8VuRskKePgLLijK0i78OGeMb&index=4
4,Illegal weapon 2.0,Tanishk B,https://www.youtube.com/watch?v=GOkJguI8kYc&list=PLmQj3u8DC8VuRskKePgLLijK0i78OGeMb&index=5
5,Dus Bahane 2.0,Vishal dadlani,https://www.youtube.com/watch?v=vjOKuvBjkS8&list=PLmQj3u8DC8VuRskKePgLLijK0i78OGeMb&index=6
6,Goa Beach,Tony Kakkar,https://www.youtube.com/watch?v=n5WnMJ0J6qA&list=PLmQj3u8DC8VuRskKePgLLijK0i78OGeMb&index=7
7,Gallan Krdi,Hardeep,https://www.youtube.com/watch?v=a2rQQ7Mefcs&list=PLmQj3u8DC8VuRskKePgLLijK0i78OGeMb&index=8
8,Burj Khalifa,Nikita gandhi,https://www.youtube.com/watch?v=a0TkeUhcVrM&list=PLmQj3u8DC8VuRskKePgLLijK0i78OGeMb&index=9
9,Mummy Nu Pasand,Tanishk B,https://www.youtube.com/watch?v=wplnSnIBOYc&list=PLmQj3u8DC8VuRskKePgLLijK0i78OGeMb&index=10
10,Naach Meri Rani,Guru Randhawa,https://www.youtube.com/watch?v=TCx1yMegJ4A&list=PLmQj3u8DC8VuRskKePgLLijK0i78OGeMb&index=11
11,Loca,Yo yo honey singh,https://www.youtube.com/watch?v=QeLoW2ySlbc&list=PLmQj3u8DC8VuRskKePgLLijK0i78OGeMb&index=12
12,Ole Ole 2.0,Tanishk B,https://www.youtube.com/watch?v=0oWG2Ss9px4&list=PLmQj3u8DC8VuRskKePgLLijK0i78OGeMb&index=13
13,Param Sundari,Shreya Goshal,https://www.youtube.com/watch?v=w4ClQO0FFQg&list=PLmQj3u8DC8VuRskKePgLLijK0i78OGeMb&index=14
14,Paani Paani,Badshaah,https://www.youtube.com/watch?v=nFjVlf2r9_Q&list=PLmQj3u8DC8VuRskKePgLLijK0i78OGeMb&index=15
15,Sakhiyan 2.0,Tanishk B,https://www.youtube.com/watch?v=PO6nynliE0Q&list=PLmQj3u8DC8VuRskKePgLLijK0i78OGeMb&index=17
16,Saiyaan JI,Yo yo honey singh,https://www.youtube.com/watch?v=VEkj2sanAeU&list=PLmQj3u8DC8VuRskKePgLLijK0i78OGeMb&index=18
17,Nadiyo Par,Rashmeet,https://www.youtube.com/watch?v=DKj5m9cSMZs&list=PLmQj3u8DC8VuRskKePgLLijK0i78OGeMb&index=19
