,Name,Artist,Link
0,Zinda banda,Anirudh,https://www.youtube.com/watch?v=stjZKBhQ3lg&list=PLmQj3u8DC8VuC0GYJ9JewXGOq7ZmrA6mO
1,Not ramaiya Vastavaiya,Anirudh,https://www.youtube.com/watch?v=m3OtL4peEWU&list=PLmQj3u8DC8VuC0GYJ9JewXGOq7ZmrA6mO&index=2
2,Jhume re,Archana gore,https://www.youtube.com/watch?v=dh1_OPW9xl8&list=PLmQj3u8DC8VuC0GYJ9JewXGOq7ZmrA6mO&index=3
3,Dholida,Shail hada,https://www.youtube.com/watch?v=hSBE_S0VYsE&list=PLmQj3u8DC8VuC0GYJ9JewXGOq7ZmrA6mO&index=4
4,O saki saki,Neha Kakkar,https://www.youtube.com/watch?v=IyGDL1F0EeY&list=PLmQj3u8DC8VuC0GYJ9JewXGOq7ZmrA6mO&index=5
5,Dilbar,Neha Kakkar,https://www.youtube.com/watch?v=Pnj_ChMZMic&list=PLmQj3u8DC8VuC0GYJ9JewXGOq7ZmrA6mO&index=6
6,kamariya,Darshan Raval,https://www.youtube.com/watch?v=95xYZWo4z0k&list=PLmQj3u8DC8VuC0GYJ9JewXGOq7ZmrA6mO&index=7
7,gali gali,Neha Kakkar,https://www.youtube.com/watch?v=elj3Xm5tmzU&list=PLmQj3u8DC8VuC0GYJ9JewXGOq7ZmrA6mO&index=8
8,Do you love me,Nikita gandhi,https://www.youtube.com/watch?v=M21ZaDrXSGo&list=PLmQj3u8DC8VuC0GYJ9JewXGOq7ZmrA6mO&index=9
9,Ek to kam zindagani,Neha Kakkar,https://www.youtube.com/watch?v=TKA3vyq-5VU&list=PLmQj3u8DC8VuC0GYJ9JewXGOq7ZmrA6mO&index=10
10,Thumkeshwari,Sachin-Jigar,https://www.youtube.com/watch?v=UKA31XLzsNA&list=PLmQj3u8DC8VuC0GYJ9JewXGOq7ZmrA6mO&index=11
11,kamariya,Sachin-Jigar,https://www.youtube.com/watch?v=1xYZeDReUz4&list=PLmQj3u8DC8VuC0GYJ9JewXGOq7ZmrA6mO&index=12
12,hook up song,Vishal-Shekhar,https://www.youtube.com/watch?v=zuaLWHiRXkg&list=PLmQj3u8DC8VuC0GYJ9JewXGOq7ZmrA6mO&index=13
13,Rom Rom,MC Square,https://www.youtube.com/watch?v=Tnfs0MZsBBE&list=PLmQj3u8DC8VuC0GYJ9JewXGOq7ZmrA6mO&index=14
14,odhani,Neha kakkar,https://www.youtube.com/watch?v=bEzczY4hPLk&list=PLmQj3u8DC8VuC0GYJ9JewXGOq7ZmrA6mO&index=15
15,Current laga,Jonita,https://www.youtube.com/watch?v=df3Id8Kuf-w&list=PLmQj3u8DC8VuC0GYJ9JewXGOq7ZmrA6mO&index=16
16,mera wala dance,Nakash Aziz,https://www.youtube.com/watch?v=aa_MlHmb4QQ&list=PLmQj3u8DC8VuC0GYJ9JewXGOq7ZmrA6mO&index=17
17,Ankh marey,Mika Singh,https://www.youtube.com/watch?v=_KhQT-LGb-4&list=PLmQj3u8DC8VuC0GYJ9JewXGOq7ZmrA6mO&index=18
18,Aila re Aila,Tanishk,https://www.youtube.com/watch?v=YnzN4DM0gAA&list=PLmQj3u8DC8VuC0GYJ9JewXGOq7ZmrA6mO&index=19
19,naacho naacho,vishal shekhar,https://www.youtube.com/watch?v=sAzlWScHTc4&list=PLmQj3u8DC8VuC0GYJ9JewXGOq7ZmrA6mO&index=20
